iter	Logloss
0	0.6682080388
1	0.6466641312
2	0.6255633092
3	0.6046376805
4	0.5893789446
5	0.5746654452
6	0.5569659477
7	0.5459167572
8	0.5306722886
9	0.5208059398
10	0.512701263
11	0.5025797923
12	0.4930348232
13	0.4845312109
14	0.4776773992
15	0.471056817
16	0.4638412884
17	0.4583023861
18	0.4521985103
19	0.4472848678
20	0.4430203735
21	0.4382387069
22	0.4334068887
23	0.4298987439
24	0.4262876217
25	0.4214663695
26	0.4174594729
27	0.4138850105
28	0.4117408867
29	0.4090871916
30	0.4067111264
31	0.404301975
32	0.4019635307
33	0.3988697003
34	0.3966130103
35	0.3953474802
36	0.3934648208
37	0.3912352232
38	0.3890381409
39	0.3877523248
40	0.3851698226
41	0.3835720375
42	0.3811096378
43	0.3795668907
44	0.3783541718
45	0.3775930228
46	0.3763575675
47	0.3749577307
48	0.3735283452
49	0.3722196299
50	0.3709383622
51	0.3699491998
52	0.368903572
53	0.3678909002
54	0.3668870605
55	0.3657497553
56	0.3648655747
57	0.3640301674
58	0.3635240531
59	0.3626217656
60	0.3617961562
61	0.3610769379
62	0.3600904693
63	0.3595049216
64	0.3585540571
65	0.3574706444
66	0.3565297645
67	0.3555360117
68	0.3547896476
69	0.3543827852
70	0.3538728357
71	0.3532007185
72	0.3524996367
73	0.3515862601
74	0.3511001902
75	0.3500770866
76	0.3497057679
77	0.349035311
78	0.348463938
79	0.348118617
80	0.3472743611
81	0.3467430981
82	0.3463038524
83	0.3458145781
84	0.3452201714
85	0.3446245958
86	0.3441824976
87	0.3433880306
88	0.3430188876
89	0.3426695687
90	0.3422569118
91	0.34162642
92	0.3411408898
93	0.3405331799
94	0.3399804474
95	0.3396778912
96	0.3392850708
97	0.3388324135
98	0.338351626
99	0.3380557825
100	0.3376686127
101	0.3372330542
102	0.336710601
103	0.336270815
104	0.3359091366
105	0.335564764
106	0.335161305
107	0.3349274309
108	0.334691942
109	0.3344793304
110	0.3341259028
111	0.3337600423
112	0.333439527
113	0.3332520241
114	0.3329588135
115	0.3327155267
116	0.332438734
117	0.3321660777
118	0.3320070413
119	0.331782712
120	0.331493077
121	0.3310825131
122	0.3308106156
123	0.3305738364
124	0.3303702998
125	0.3301889121
126	0.3299313113
127	0.3298165028
128	0.3294008856
129	0.3292347925
130	0.3289973057
131	0.3287934585
132	0.3285954493
133	0.3283393223
134	0.3281442753
135	0.3279372909
136	0.3277318308
137	0.3275486697
138	0.3272399713
139	0.3269780059
140	0.3267945903
141	0.3266248765
142	0.3265062665
143	0.3264379248
144	0.3262967335
145	0.326039501
146	0.3259547224
147	0.3257016457
148	0.325341526
149	0.3250604989
150	0.3247650829
151	0.3245602979
152	0.3244180522
153	0.324250745
154	0.324063798
155	0.3239027966
156	0.3236837082
157	0.3234998672
158	0.323300857
159	0.3231851721
160	0.3230534745
161	0.3228728723
162	0.3227241979
163	0.3225068962
164	0.3223221089
165	0.3221595764
166	0.3217308019
167	0.3215043317
168	0.321216233
169	0.3210358595
170	0.3209044429
171	0.3207755141
172	0.3206621559
173	0.3204923771
174	0.3202250768
175	0.3201157167
176	0.319997921
177	0.3198451446
178	0.3194757012
179	0.3193227987
180	0.3190892583
181	0.3189964999
182	0.3188925418
183	0.3187853157
184	0.3186239406
185	0.3185245204
186	0.318386719
187	0.3182957532
188	0.3182460833
189	0.3181207094
190	0.3180053511
191	0.3178798615
192	0.3177615874
193	0.3175934243
194	0.3174263776
195	0.317295494
196	0.3171561171
197	0.3170114248
198	0.3169139362
199	0.3168457045
200	0.3167842153
201	0.3166743705
202	0.3164345421
203	0.3163426411
204	0.3162022682
205	0.3158658386
206	0.3157762066
207	0.315595023
208	0.3154930869
209	0.3154052949
