iter	Passed	Remaining
0	4	3795
1	10	4274
2	16	4465
3	22	4529
4	26	4222
5	30	4019
6	34	3870
7	38	3852
8	42	3771
9	49	3913
10	54	3940
11	62	4094
12	68	4167
13	77	4361
14	82	4315
15	89	4401
16	95	4407
17	99	4339
18	105	4347
19	109	4280
20	115	4266
21	120	4264
22	124	4212
23	128	4155
24	132	4109
25	137	4079
26	141	4050
27	146	4049
28	151	4016
29	154	3970
30	158	3939
31	162	3905
32	166	3877
33	170	3843
34	174	3807
35	178	3786
36	185	3826
37	189	3800
38	194	3790
39	200	3804
40	205	3798
41	210	3793
42	214	3770
43	218	3759
44	224	3763
45	229	3768
46	237	3802
47	242	3791
48	247	3799
49	252	3793
50	257	3786
51	262	3776
52	267	3774
53	272	3763
54	276	3748
55	280	3733
56	285	3717
57	289	3706
58	294	3702
59	300	3706
60	304	3689
61	308	3676
62	314	3676
63	318	3660
64	321	3640
65	325	3622
66	330	3620
67	334	3602
68	338	3584
69	342	3569
70	346	3552
71	349	3537
72	353	3519
73	357	3505
74	361	3492
75	367	3497
76	372	3500
77	380	3521
78	387	3535
79	398	3583
80	404	3586
81	412	3612
82	417	3603
83	421	3593
84	429	3611
85	433	3601
86	437	3589
87	441	3575
88	446	3569
89	450	3553
90	453	3536
91	457	3524
92	463	3520
93	469	3527
94	475	3527
95	480	3525
96	491	3559
97	496	3553
98	500	3546
99	506	3542
100	511	3540
101	516	3534
102	520	3521
103	525	3517
104	529	3504
105	533	3490
106	537	3480
107	542	3476
108	548	3474
109	552	3464
110	556	3457
111	562	3458
112	567	3448
113	571	3440
114	575	3428
115	580	3425
116	587	3427
117	591	3416
118	595	3407
119	601	3407
120	606	3403
121	612	3401
122	617	3399
123	622	3391
124	625	3379
125	630	3371
126	634	3360
127	639	3355
128	644	3353
129	650	3352
130	657	3356
131	661	3347
132	665	3337
133	669	3328
134	677	3335
135	681	3327
136	687	3324
137	691	3316
138	695	3307
139	700	3300
140	704	3292
141	708	3283
142	712	3273
143	716	3264
144	720	3256
145	724	3246
146	728	3236
147	733	3231
148	737	3222
149	741	3212
150	746	3206
151	752	3209
152	757	3201
153	760	3191
154	765	3185
155	769	3176
156	774	3172
157	778	3162
158	782	3155
159	786	3147
160	791	3141
161	796	3135
162	799	3125
163	803	3117
164	808	3109
165	813	3106
166	818	3100
167	822	3094
168	826	3085
169	832	3086
170	837	3082
171	842	3076
172	848	3075
173	852	3068
174	857	3063
175	861	3055
176	866	3051
177	872	3047
178	877	3043
179	881	3036
180	888	3038
181	895	3039
182	899	3032
183	904	3027
184	909	3022
185	913	3016
186	919	3013
187	925	3013
188	929	3005
189	933	2997
190	937	2989
191	943	2988
192	947	2980
193	951	2973
194	956	2967
195	961	2961
196	965	2954
197	970	2950
198	975	2944
199	980	2942
200	984	2934
201	988	2925
202	993	2920
203	998	2916
204	1002	2910
205	1008	2907
206	1020	2923
207	1025	2919
208	1031	2916
209	1048	2945
210	1054	2942
211	1060	2942
212	1066	2939
213	1071	2934
214	1078	2934
215	1083	2928
216	1088	2923
217	1096	2927
218	1101	2921
219	1105	2914
220	1110	2909
221	1115	2904
222	1119	2897
223	1124	2890
224	1128	2884
225	1133	2877
226	1140	2878
227	1146	2875
228	1152	2873
229	1156	2866
230	1161	2860
231	1165	2854
232	1171	2850
233	1175	2843
234	1179	2836
235	1185	2832
236	1189	2826
237	1194	2820
238	1199	2815
239	1204	2811
240	1210	2807
241	1214	2801
242	1219	2794
243	1223	2787
244	1228	2782
245	1232	2776
246	1237	2770
247	1241	2763
248	1246	2757
249	1251	2752
250	1255	2745
251	1260	2740
252	1265	2735
253	1271	2732
254	1277	2730
255	1282	2724
256	1287	2720
257	1292	2714
258	1297	2710
259	1304	2709
260	1309	2704
261	1315	2701
262	1322	2700
263	1328	2697
264	1333	2692
265	1338	2687
266	1344	2684
267	1350	2680
268	1356	2678
269	1360	2671
270	1365	2665
271	1369	2658
272	1378	2661
273	1384	2658
274	1390	2653
275	1405	2667
276	1410	2662
277	1415	2658
278	1420	2653
279	1428	2653
280	1435	2650
281	1439	2643
282	1446	2642
283	1456	2646
284	1460	2639
285	1464	2632
286	1469	2627
287	1477	2626
288	1481	2619
289	1485	2612
290	1489	2605
291	1503	2615
292	1509	2611
293	1515	2608
294	1520	2603
295	1526	2598
296	1534	2599
297	1539	2593
298	1544	2588
299	1549	2582
300	1553	2575
301	1557	2568
302	1565	2568
303	1570	2562
304	1578	2561
305	1590	2568
306	1596	2563
307	1601	2557
308	1605	2551
309	1611	2547
310	1621	2549
311	1629	2549
312	1637	2548
313	1646	2547
314	1649	2540
315	1653	2533
316	1658	2526
317	1664	2522
318	1668	2515
319	1672	2508
320	1676	2501
321	1680	2494
322	1684	2487
323	1688	2480
324	1692	2473
325	1698	2470
326	1706	2467
327	1717	2471
328	1754	2511
329	1763	2512
330	1771	2510
331	1777	2505
332	1784	2501
333	1807	2521
334	1813	2516
335	1819	2513
336	1825	2507
337	1830	2501
338	1835	2496
339	1849	2502
340	1858	2501
341	1864	2496
342	1870	2491
343	1876	2488
344	1883	2484
345	1899	2491
346	1904	2485
347	1911	2482
348	1919	2480
349	1926	2477
350	1937	2477
351	1942	2471
352	1949	2467
353	1954	2462
354	1959	2456
355	1964	2450
356	1972	2447
357	1977	2441
358	1982	2435
359	1989	2431
360	1995	2426
361	2001	2421
362	2012	2422
363	2020	2419
364	2032	2421
365	2047	2427
366	2052	2422
367	2059	2417
368	2067	2415
369	2074	2411
370	2081	2406
371	2090	2404
372	2106	2411
373	2112	2406
374	2119	2401
375	2125	2396
376	2131	2392
377	2137	2386
378	2147	2385
379	2153	2380
380	2160	2375
381	2167	2371
382	2173	2366
383	2179	2360
384	2189	2359
385	2200	2359
386	2209	2357
387	2216	2353
388	2224	2350
389	2231	2346
390	2238	2341
391	2244	2335
392	2249	2329
393	2255	2323
394	2261	2318
395	2270	2316
396	2277	2311
397	2284	2307
398	2290	2301
399	2297	2297
400	2304	2292
401	2312	2289
402	2323	2288
403	2331	2285
404	2336	2278
405	2342	2273
406	2348	2267
407	2352	2260
408	2357	2253
409	2364	2248
410	2368	2242
411	2373	2235
